student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,7200.117,7200.117,7203.417,0,PE
2,7200.497,7203.417,7208.237,2.92,PE
3,7200.737,7208.237,7212.584,7.5,PE
4,7201.483,7212.584,7217.068,11.1,PE
5,7204.215,7217.068,7219.894,12.853,PE
6,7205.195,7219.894,7223.058,14.698,PEGC
7,7205.268,7223.058,7227.859,17.791,PE
8,7210.643,7227.859,7231.197,17.217,PEG
9,7213.504,7231.197,7233.987,17.693,PEG
10,7213.942,7233.987,7238.198,20.045,PE
11,7216.625,7238.198,7241.864,21.573,PEC
12,7216.72,7241.864,7245.388,25.144,PEGC
13,7216.795,7245.388,7248.428,28.592,PE
14,7217.149,7248.428,7250.441,31.279,PEGC
15,7217.387,7250.441,7253.289,33.054,PE
16,7218.136,7253.289,7257.825,35.153,PE
17,7218.152,7257.825,7260.769,39.673,PEC
18,7218.417,7260.769,7265.593,42.353,PE
19,7221.254,7265.593,7269.598,44.34,PEG
20,7221.359,7269.598,7271.629,48.239,PEG
21,7221.373,7271.629,7275.839,50.256,PE
22,7224.784,7275.839,7278.981,51.054,PEGC
23,7226.565,7278.981,7283.978,52.416,PE
24,7227.703,7283.978,7286.586,56.275,PE
25,7228.564,7286.586,7289.035,58.022,PEG
26,7228.949,7289.035,7293.439,60.086,PE
27,7231.011,7293.439,7298.335,62.428,PE
28,7231.642,7298.335,7303.099,66.693,PEG
29,7231.856,7303.099,7307.406,71.243,PEC
30,7232.199,7307.406,7310.706,75.207,PEC
31,7233.124,7310.706,7312.864,77.582,PEGC
32,7233.704,7312.864,7317.744,79.161,PE
33,7233.756,7317.744,7320.212,83.988,PEC
34,7234.223,7320.212,7322.633,85.989,PEG
35,7234.385,7322.633,7326.778,88.248,PEG
36,7237.81,7326.778,7331.615,88.968,PEG
37,7238.178,7331.615,7335.85,93.437,PE
38,7238.863,7335.85,7339.533,96.987,PE
39,7240.105,7339.533,7341.969,99.429,PEGC
40,7243.336,7341.969,7345.872,98.634,PE
41,7243.378,7345.872,7349.754,102.494,PEC
42,7244.393,7349.754,7354.299,105.362,PE
43,7244.525,7354.299,7359.008,109.774,PEG
44,7245.739,7359.008,7361.372,113.269,PEC
45,7247.426,7361.372,7363.611,113.946,PE
46,7248.076,7363.611,7367.235,115.534,PE
47,7248.945,7367.235,7371.766,118.29,PEC
48,7249.434,7371.766,7373.93,122.332,PEGC
49,7250.699,7373.93,7378.323,123.232,PE
50,7251.567,7378.323,7380.359,126.757,PEGC
51,7253.188,7380.359,7383.245,127.171,PEGC
52,7255.456,7383.245,7385.905,127.789,PE
53,7256.633,7385.905,7390.845,129.272,PEG
54,7257.739,7390.845,7393.123,133.106,PE
55,7259.556,7393.123,7397.288,133.567,PEG
56,7259.875,7397.288,7401.705,137.412,PE
57,7261.575,7401.705,7404.738,140.13,PEC
58,7261.591,7404.738,7409.621,143.147,PEG
59,7262.339,7409.621,7413.984,147.283,PEC
60,7264.877,7413.984,7417.374,149.107,PEG
61,7265.331,7417.374,7420.611,152.043,PEC
62,7266.265,7420.611,7422.644,154.346,PEC
63,7267.931,7422.644,7425.79,154.713,PEG
64,7268.184,7425.79,7427.924,157.605,PE
65,7268.197,7427.924,7432.452,159.727,PEG
66,7268.282,7432.452,7434.634,164.17,PE
67,7269.202,7434.634,7437.153,165.432,PEGC
68,7269.23,7437.153,7442.119,167.923,PE
69,7270.981,7442.119,7445.145,171.139,PE
70,7272.164,7445.145,7448.747,172.981,PE
71,7273.715,7448.747,7453.569,175.032,PEC
72,7273.716,7453.569,7455.684,179.853,PEC
73,7275.171,7455.684,7458.206,180.513,PEC
74,7275.455,7458.206,7460.716,182.752,PE
75,7276.201,7460.716,7465.047,184.515,PEC
76,7276.709,7465.047,7467.149,188.339,PE
77,7276.902,7467.149,7470.621,190.248,PE
78,7278.383,7470.621,7474.861,192.238,PEC
79,7278.837,7474.861,7479.161,196.024,PEC
80,7279.19,7479.161,7482.081,199.971,PE
81,7279.195,7482.081,7484.672,202.886,PEC
82,7279.388,7484.672,7488.176,205.284,PEG
83,7279.541,7488.176,7490.264,208.635,PE
84,7279.831,7490.264,7493.551,210.433,PEG
85,7283.136,7493.551,7497.298,210.414,PEG
86,7284.067,7497.298,7499.509,213.231,PEG
87,7285.159,7499.509,7503.556,214.351,PEC
88,7285.204,7503.556,7508.172,218.352,PE
89,7286.164,7508.172,7510.319,222.009,PE
90,7286.721,7510.319,7512.53,223.598,PE
91,7287.851,7512.53,7515.641,224.68,PEG
92,7287.993,7515.641,7518.188,227.649,PEC
93,7289.766,7518.188,7520.377,228.422,PEC
94,7293.463,7520.377,7523.357,226.914,PE
95,7293.566,7523.357,7527.939,229.791,PEC
96,7295.635,7527.939,7531.725,232.304,PEC
97,7296.241,7531.725,7534.986,235.484,PE
98,7297.012,7534.986,7538.492,237.974,PEG
99,7299.059,7538.492,7541.542,239.433,PEG
100,7299.608,7541.542,7543.929,241.934,PE
