student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,1205.67,1205.67,1210.391,0,PEG
2,1211.69,1211.69,1214.827,0,PE
3,1241.51,1241.51,1245.099,0,PE
4,1242.37,1245.099,1250.064,2.729,PE
5,1266.346,1266.346,1271.221,0,PEGC
6,1293.055,1293.055,1297.508,0,PEG
7,1296.849,1297.508,1300.78,0.659,PEC
8,1298.318,1300.78,1305.234,2.463,PEC
9,1331.127,1331.127,1334.461,0,PEC
10,1335.347,1335.347,1338.487,0,PE
11,1335.81,1338.487,1342.609,2.678,PEC
12,1345.786,1345.786,1348.503,0,PE
13,1371.14,1371.14,1373.667,0,PE
14,1375.77,1375.77,1378.484,0,PE
15,1380.487,1380.487,1383.338,0,PEG
16,1388.239,1388.239,1390.361,0,PE
17,1391.837,1391.837,1395.491,0,PE
18,1397.077,1397.077,1401.904,0,PE
19,1493.178,1493.178,1497.541,0,PE
20,1496.617,1497.541,1500.266,0.924,PEG
21,1509.951,1509.951,1514.039,0,PE
22,1511.796,1514.039,1516.085,2.244,PEG
23,1512.377,1516.085,1520.391,3.708,PE
24,1514.37,1520.391,1523.386,6.02,PEGC
25,1522.958,1523.386,1526.353,0.428,PE
26,1523.276,1526.353,1530.65,3.078,PEGC
27,1531,1531,1534.152,0,PE
28,1563.437,1563.437,1566.092,0,PEG
29,1564.487,1566.092,1569.782,1.605,PEGC
30,1564.68,1569.782,1572.444,5.102,PEG
31,1577.446,1577.446,1579.934,0,PE
32,1588.088,1588.088,1591.287,0,PEG
33,1594.331,1594.331,1596.392,0,PE
34,1599.891,1599.891,1603.161,0,PEGC
35,1602.64,1603.161,1605.17,0.521,PEC
36,1607.885,1607.885,1610.019,0,PE
37,1616.051,1616.051,1618.618,0,PEC
38,1618.577,1618.618,1621.222,0.041,PEGC
39,1623,1623,1626.801,0,PE
40,1656.189,1656.189,1658.884,0,PEG
41,1658.813,1658.884,1662.584,0.071,PE
42,1667.997,1667.997,1671.649,0,PEC
43,1692.742,1692.742,1695.756,0,PE
44,1702.69,1702.69,1707.66,0,PE
45,1703.319,1707.66,1710.105,4.341,PE
46,1714.642,1714.642,1719.196,0,PE
47,1726.573,1726.573,1730.935,0,PEC
48,1751.965,1751.965,1755.538,0,PE
49,1761.597,1761.597,1763.654,0,PEGC
50,1768.518,1768.518,1771.308,0,PEC
51,7212.51,7212.51,7217.506,0,PEC
52,7215.295,7217.506,7221.638,2.211,PEC
53,7230.434,7230.434,7233.088,0,PEG
54,7230.71,7233.088,7237.013,2.378,PEG
55,7243.852,7243.852,7246.215,0,PE
56,7258.081,7258.081,7261.751,0,PE
57,7282.809,7282.809,7287.173,0,PE
58,7283.723,7287.173,7290.417,3.45,PEGC
59,7285.834,7290.417,7292.668,4.583,PE
60,7296.8,7296.8,7300.562,0,PE
61,7299.724,7300.562,7304.479,0.838,PEG
62,7329.743,7329.743,7332.119,0,PEC
63,7342.821,7342.821,7347.417,0,PE
64,7364.741,7364.741,7368.204,0,PEG
65,7373.38,7373.38,7376.208,0,PEC
66,7384.88,7384.88,7387.814,0,PE
67,7393.275,7393.275,7397.275,0,PEC
68,7408.465,7408.465,7411.965,0,PE
69,7417.014,7417.014,7420.347,0,PE
70,7417.075,7420.347,7423.323,3.271,PEGC
71,7425.834,7425.834,7429.531,0,PE
72,7427.156,7429.531,7431.577,2.375,PE
73,7439.111,7439.111,7442.769,0,PEG
74,7450.412,7450.412,7455.219,0,PEGC
75,7478.983,7478.983,7482.429,0,PEGC
76,7497.735,7497.735,7500.72,0,PEGC
77,7500.465,7500.72,7505.13,0.255,PEG
78,7518.054,7518.054,7520.484,0,PE
79,7533.493,7533.493,7535.729,0,PE
80,7544.142,7544.142,7547.478,0,PE
81,7560.888,7560.888,7564.284,0,PE
82,7585.446,7585.446,7589.656,0,PEG
83,7592.155,7592.155,7596.253,0,PEG
84,7595.211,7596.253,7599.852,1.041,PE
85,7612.348,7612.348,7614.967,0,PEG
86,7626.948,7626.948,7629.419,0,PEC
87,7637.231,7637.231,7640.437,0,PEG
88,7638.123,7640.437,7643.75,2.314,PEC
89,7642.951,7643.75,7648.675,0.799,PE
90,7654.827,7654.827,7659.608,0,PEC
91,7655.149,7659.608,7662.532,4.458,PEGC
92,7655.966,7662.532,7667.12,6.566,PEG
93,7676.828,7676.828,7680.509,0,PE
94,7681.75,7681.75,7685.382,0,PE
95,7689.252,7689.252,7693.779,0,PEG
96,7727.564,7727.564,7731.928,0,PEC
97,7731.822,7731.928,7735.537,0.105,PE
98,7741.199,7741.199,7743.205,0,PE
99,7760.737,7760.737,7763.848,0,PE
100,7776.057,7776.057,7779.365,0,PEG
