student_id,path,checkin_end,P_start,P_end,E_start,E_end,G_start,G_end,C_start,C_end
1,PE,NaN,7203.6560769047,7213.6560769047,7214.6560769047,7224.6560769047,NaN,NaN,NaN,NaN
2,PEGC,NaN,7213.6560769047,7223.6560769047,7224.6560769047,7234.6560769047,7235.6560769047,7245.6560769047,7246.6560769047,7276.6560769047
3,PEGC,NaN,7223.6560769047,7233.6560769047,7234.6560769047,7244.6560769047,7245.6560769047,7255.6560769047,7276.6560769047,7306.6560769047
4,PE,NaN,7233.6560769047,7243.6560769047,7244.6560769047,7254.6560769047,NaN,NaN,NaN,NaN
5,PEGC,NaN,7243.6560769047,7253.6560769047,7254.6560769047,7264.6560769047,7265.6560769047,7275.6560769047,7306.6560769047,7336.6560769047
6,PEG,NaN,7253.6560769047,7263.6560769047,7264.6560769047,7274.6560769047,7275.6560769047,7285.6560769047,NaN,NaN
7,PE,NaN,7263.6560769047,7273.6560769047,7274.6560769047,7284.6560769047,NaN,NaN,NaN,NaN
8,PE,NaN,7273.6560769047,7283.6560769047,7284.6560769047,7294.6560769047,NaN,NaN,NaN,NaN
9,PEGC,NaN,7283.6560769047,7293.6560769047,7294.6560769047,7304.6560769047,7305.6560769047,7315.6560769047,7336.6560769047,7366.6560769047
10,PEG,NaN,7293.6560769047,7303.6560769047,7304.6560769047,7314.6560769047,7315.6560769047,7325.6560769047,NaN,NaN
11,PE,NaN,7303.6560769047,7313.6560769047,7314.6560769047,7324.6560769047,NaN,NaN,NaN,NaN
12,PE,NaN,7313.6560769047,7323.6560769047,7324.6560769047,7334.6560769047,NaN,NaN,NaN,NaN
13,PE,NaN,7323.6560769047,7333.6560769047,7334.6560769047,7344.6560769047,NaN,NaN,NaN,NaN
14,PEG,NaN,7333.6560769047,7343.6560769047,7344.6560769047,7354.6560769047,7355.6560769047,7365.6560769047,NaN,NaN
15,PE,NaN,7343.6560769047,7353.6560769047,7354.6560769047,7364.6560769047,NaN,NaN,NaN,NaN
16,PEGC,NaN,7353.6560769047,7363.6560769047,7364.6560769047,7374.6560769047,7375.6560769047,7385.6560769047,7386.6560769047,7416.6560769047
17,PEG,NaN,7363.6560769047,7373.6560769047,7374.6560769047,7384.6560769047,7385.6560769047,7395.6560769047,NaN,NaN
18,PEG,NaN,7373.6560769047,7383.6560769047,7384.6560769047,7394.6560769047,7395.6560769047,7405.6560769047,NaN,NaN
19,PE,NaN,7383.6560769047,7393.6560769047,7394.6560769047,7404.6560769047,NaN,NaN,NaN,NaN
20,PEG,NaN,7393.6560769047,7403.6560769047,7404.6560769047,7414.6560769047,7415.6560769047,7425.6560769047,NaN,NaN
21,PE,NaN,7403.6560769047,7413.6560769047,7414.6560769047,7424.6560769047,NaN,NaN,NaN,NaN
22,PEG,NaN,7413.6560769047,7423.6560769047,7424.6560769047,7434.6560769047,7435.6560769047,7445.6560769047,NaN,NaN
23,PE,NaN,7423.6560769047,7433.6560769047,7434.6560769047,7444.6560769047,NaN,NaN,NaN,NaN
24,PE,NaN,7433.6560769047,7443.6560769047,7444.6560769047,7454.6560769047,NaN,NaN,NaN,NaN
25,PEG,NaN,7443.6560769047,7453.6560769047,7454.6560769047,7464.6560769047,7465.6560769047,7475.6560769047,NaN,NaN
26,PEGC,NaN,7453.6560769047,7463.6560769047,7464.6560769047,7474.6560769047,7475.6560769047,7485.6560769047,7486.6560769047,7516.6560769047
27,PE,NaN,7463.6560769047,7473.6560769047,7474.6560769047,7484.6560769047,NaN,NaN,NaN,NaN
28,PEC,NaN,7473.6560769047,7483.6560769047,7484.6560769047,7494.6560769047,NaN,NaN,7516.6560769047,7546.6560769047
29,PEGC,NaN,7483.6560769047,7493.6560769047,7494.6560769047,7504.6560769047,7505.6560769047,7515.6560769047,7546.6560769047,7576.6560769047
30,PEC,NaN,7493.6560769047,7503.6560769047,7504.6560769047,7514.6560769047,NaN,NaN,7576.6560769047,7606.6560769047
31,PE,NaN,7503.6560769047,7513.6560769047,7514.6560769047,7524.6560769047,NaN,NaN,NaN,NaN
32,PEGC,NaN,7513.6560769047,7523.6560769047,7524.6560769047,7534.6560769047,7535.6560769047,7545.6560769047,7606.6560769047,7636.6560769047
33,PE,NaN,7523.6560769047,7533.6560769047,7534.6560769047,7544.6560769047,NaN,NaN,NaN,NaN
34,PEC,NaN,7533.6560769047,7543.6560769047,7544.6560769047,7554.6560769047,NaN,NaN,7636.6560769047,7666.6560769047
35,PEG,NaN,7543.6560769047,7553.6560769047,7554.6560769047,7564.6560769047,7565.6560769047,7575.6560769047,NaN,NaN
36,PE,NaN,7553.6560769047,7563.6560769047,7564.6560769047,7574.6560769047,NaN,NaN,NaN,NaN
37,PE,NaN,7563.6560769047,7573.6560769047,7574.6560769047,7584.6560769047,NaN,NaN,NaN,NaN
38,PE,NaN,7573.6560769047,7583.6560769047,7584.6560769047,7594.6560769047,NaN,NaN,NaN,NaN
39,PE,NaN,7583.6560769047,7593.6560769047,7594.6560769047,7604.6560769047,NaN,NaN,NaN,NaN
40,PE,NaN,7593.6560769047,7603.6560769047,7604.6560769047,7614.6560769047,NaN,NaN,NaN,NaN
41,PEC,NaN,7603.6560769047,7613.6560769047,7614.6560769047,7624.6560769047,NaN,NaN,7666.6560769047,7696.6560769047
42,PEC,NaN,7613.6560769047,7623.6560769047,7624.6560769047,7634.6560769047,NaN,NaN,7696.6560769047,7726.6560769047
43,PEG,NaN,7623.6560769047,7633.6560769047,7634.6560769047,7644.6560769047,7645.6560769047,7655.6560769047,NaN,NaN
44,PEG,NaN,7633.6560769047,7643.6560769047,7644.6560769047,7654.6560769047,7655.6560769047,7665.6560769047,NaN,NaN
45,PE,NaN,7643.6560769047,7653.6560769047,7654.6560769047,7664.6560769047,NaN,NaN,NaN,NaN
46,PEC,NaN,7653.6560769047,7663.6560769047,7664.6560769047,7674.6560769047,NaN,NaN,7726.6560769047,7756.6560769047
47,PE,NaN,7663.6560769047,7673.6560769047,7674.6560769047,7684.6560769047,NaN,NaN,NaN,NaN
48,PEG,NaN,7673.6560769047,7683.6560769047,7684.6560769047,7694.6560769047,7695.6560769047,7705.6560769047,NaN,NaN
49,PE,NaN,7683.6560769047,7693.6560769047,7694.6560769047,7704.6560769047,NaN,NaN,NaN,NaN
50,PEG,NaN,7693.6560769047,7703.6560769047,7704.6560769047,7714.6560769047,7715.6560769047,7725.6560769047,NaN,NaN
51,PE,NaN,7703.6560769047,7713.6560769047,7714.6560769047,7724.6560769047,NaN,NaN,NaN,NaN
52,PEG,NaN,7713.6560769047,7723.6560769047,7724.6560769047,7734.6560769047,7735.6560769047,7745.6560769047,NaN,NaN
53,PE,NaN,7723.6560769047,7733.6560769047,7734.6560769047,7744.6560769047,NaN,NaN,NaN,NaN
54,PE,NaN,7733.6560769047,7743.6560769047,7744.6560769047,7754.6560769047,NaN,NaN,NaN,NaN
55,PE,NaN,7743.6560769047,7753.6560769047,7754.6560769047,7764.6560769047,NaN,NaN,NaN,NaN
56,PE,NaN,7753.6560769047,7763.6560769047,7764.6560769047,7774.6560769047,NaN,NaN,NaN,NaN
57,PEG,NaN,7763.6560769047,7773.6560769047,7774.6560769047,7784.6560769047,7785.6560769047,7795.6560769047,NaN,NaN
58,PE,NaN,7773.6560769047,7783.6560769047,7784.6560769047,7794.6560769047,NaN,NaN,NaN,NaN
59,PEG,NaN,7783.6560769047,7793.6560769047,7794.6560769047,7804.6560769047,7805.6560769047,7815.6560769047,NaN,NaN
60,PEC,NaN,7793.6560769047,7803.6560769047,7804.6560769047,7814.6560769047,NaN,NaN,7815.6560769047,7845.6560769047
61,PEGC,NaN,7803.6560769047,7813.6560769047,7814.6560769047,7824.6560769047,7825.6560769047,7835.6560769047,7845.6560769047,7875.6560769047
