student_id,path,checkin_end,P_start,P_end,E_start,E_end,G_start,G_end,C_start,C_end
1,PEC,NaN,1209.56672134339,1219.56672134339,1220.56672134339,1230.56672134339,NaN,NaN,1231.56672134339,1261.56672134339
2,PE,NaN,1259.48610827748,1269.48610827748,1270.48610827748,1280.48610827748,NaN,NaN,NaN,NaN
3,PEG,NaN,1283.61719350543,1293.61719350543,1294.61719350543,1304.61719350543,1305.61719350543,1315.61719350543,NaN,NaN
4,PE,NaN,1293.61719350543,1303.61719350543,1304.61719350543,1314.61719350543,NaN,NaN,NaN,NaN
5,PEG,NaN,1303.61719350543,1313.61719350543,1314.61719350543,1324.61719350543,1325.61719350543,1335.61719350543,NaN,NaN
6,PE,NaN,1313.61719350543,1323.61719350543,1324.61719350543,1334.61719350543,NaN,NaN,NaN,NaN
7,PE,NaN,1323.61719350543,1333.61719350543,1334.61719350543,1344.61719350543,NaN,NaN,NaN,NaN
8,PE,NaN,1333.61719350543,1343.61719350543,1344.61719350543,1354.61719350543,NaN,NaN,NaN,NaN
9,PE,NaN,1343.61719350543,1353.61719350543,1354.61719350543,1364.61719350543,NaN,NaN,NaN,NaN
10,PEG,NaN,1353.61719350543,1363.61719350543,1364.61719350543,1374.61719350543,1375.61719350543,1385.61719350543,NaN,NaN
11,PE,NaN,1363.61719350543,1373.61719350543,1374.61719350543,1384.61719350543,NaN,NaN,NaN,NaN
12,PEC,NaN,1373.61719350543,1383.61719350543,1384.61719350543,1394.61719350543,NaN,NaN,1395.61719350543,1425.61719350543
13,PEG,NaN,1383.61719350543,1393.61719350543,1394.61719350543,1404.61719350543,1405.61719350543,1415.61719350543,NaN,NaN
14,PEG,NaN,1393.61719350543,1403.61719350543,1404.61719350543,1414.61719350543,1415.61719350543,1425.61719350543,NaN,NaN
15,PE,NaN,1403.61719350543,1413.61719350543,1414.61719350543,1424.61719350543,NaN,NaN,NaN,NaN
16,PE,NaN,1413.61719350543,1423.61719350543,1424.61719350543,1434.61719350543,NaN,NaN,NaN,NaN
17,PE,NaN,1423.61719350543,1433.61719350543,1434.61719350543,1444.61719350543,NaN,NaN,NaN,NaN
18,PEG,NaN,1433.61719350543,1443.61719350543,1444.61719350543,1454.61719350543,1455.61719350543,1465.61719350543,NaN,NaN
19,PEG,NaN,1443.61719350543,1453.61719350543,1454.61719350543,1464.61719350543,1465.61719350543,1475.61719350543,NaN,NaN
20,PEG,NaN,1453.61719350543,1463.61719350543,1464.61719350543,1474.61719350543,1475.61719350543,1485.61719350543,NaN,NaN
21,PEG,NaN,1463.61719350543,1473.61719350543,1474.61719350543,1484.61719350543,1485.61719350543,1495.61719350543,NaN,NaN
22,PE,NaN,1473.61719350543,1483.61719350543,1484.61719350543,1494.61719350543,NaN,NaN,NaN,NaN
23,PEG,NaN,1483.61719350543,1493.61719350543,1494.61719350543,1504.61719350543,1505.61719350543,1515.61719350543,NaN,NaN
24,PEG,NaN,1493.61719350543,1503.61719350543,1504.61719350543,1514.61719350543,1515.61719350543,1525.61719350543,NaN,NaN
25,PEC,NaN,1503.61719350543,1513.61719350543,1514.61719350543,1524.61719350543,NaN,NaN,1525.61719350543,1555.61719350543
26,PEC,NaN,1513.61719350543,1523.61719350543,1524.61719350543,1534.61719350543,NaN,NaN,1555.61719350543,1585.61719350543
27,PE,NaN,1523.61719350543,1533.61719350543,1534.61719350543,1544.61719350543,NaN,NaN,NaN,NaN
28,PE,NaN,1533.61719350543,1543.61719350543,1544.61719350543,1554.61719350543,NaN,NaN,NaN,NaN
29,PEG,NaN,1545.3640056617,1555.3640056617,1556.3640056617,1566.3640056617,1567.3640056617,1577.3640056617,NaN,NaN
30,PEC,NaN,1555.3640056617,1565.3640056617,1566.3640056617,1576.3640056617,NaN,NaN,1585.61719350543,1615.61719350543
31,PEC,NaN,1565.3640056617,1575.3640056617,1576.3640056617,1586.3640056617,NaN,NaN,1615.61719350543,1645.61719350543
32,PEC,NaN,1591.9407168829,1601.9407168829,1602.9407168829,1612.9407168829,NaN,NaN,1645.61719350543,1675.61719350543
33,PE,NaN,1601.9407168829,1611.9407168829,1612.9407168829,1622.9407168829,NaN,NaN,NaN,NaN
34,PE,NaN,1611.9407168829,1621.9407168829,1622.9407168829,1632.9407168829,NaN,NaN,NaN,NaN
35,PEG,NaN,1621.9407168829,1631.9407168829,1632.9407168829,1642.9407168829,1643.9407168829,1653.9407168829,NaN,NaN
36,PEG,NaN,1631.9407168829,1641.9407168829,1642.9407168829,1652.9407168829,1653.9407168829,1663.9407168829,NaN,NaN
37,PEGC,NaN,1641.9407168829,1651.9407168829,1652.9407168829,1662.9407168829,1663.9407168829,1673.9407168829,1675.61719350543,1705.61719350543
38,PEC,NaN,1651.9407168829,1661.9407168829,1662.9407168829,1672.9407168829,NaN,NaN,1705.61719350543,1735.61719350543
39,PEG,NaN,1661.9407168829,1671.9407168829,1672.9407168829,1682.9407168829,1683.9407168829,1693.9407168829,NaN,NaN
40,PE,NaN,1671.9407168829,1681.9407168829,1682.9407168829,1692.9407168829,NaN,NaN,NaN,NaN
